state,county,cluster,(pop.15_19+pop.20_24+pop.25_29),emp.no/pop.base_count,hh.median_income,pov.below/pop.base_count,hh.male_only,eth.white,others,core,pop.base_count,total,total.pp,core.pp,target.total.pp,target.core.pp,potential_total,potential_core,sl_acv,potential_sl_acv,da_acv,potential_da_acv,acv,potential_acv,pa
SC,sumter,7,0.222827801746938,0.061568323723741,40987.0051182807,0.179876270521978,1934,52009,40.3333333333333,2.5,104583,42.8333333333333,0.000409563058368314,2.39044586596292e-05,0.00058188401112045,7.28137666561491e-05,60.85517553501,7.61508215820004,0,0,0,0,0,0,DUI & DWI
SC,union,14,0.172133205047747,0.0603290676416819,35544.7184137452,0.178334587948525,744,17864,3.33333333333333,0,27897,3.33333333333333,0.000119487161104539,0,0.000388223065459418,4.00272185085858e-05,10.8302588571214,1.11663931473402,0,0,0,0,0,0,DUI & DWI
SC,williamsburg,16,0.187847498466287,0.0503044744506222,26530.6435245417,0.287838672667902,452,5400,3.5,1,22662,4.5,0.000198570293884035,4.412673197423e-05,0.00027531307029136,3.16355583676052e-05,6.2391447989428,1,0,0,0,0,0,0,DUI & DWI
SC,york,1,0.193567339536439,0.056211789235608,55703.6086991927,0.146433367494787,3628,177990,121.666666666667,16.6666666666667,226376,138.333333333333,0.000611077734977795,7.36238234913006e-05,0.000615160045876342,8.67613087943432e-05,139.257470545303,19.6406780396282,238.862553038856,240.110614860644,74.9902281097456,75.3820536157541,313.852781148602,315.492668476398,DUI & DWI
SD,aurora,20,0.151631478,0.00767754318618042,46731.5660018993,0.0702495201535509,24,2504,1,0,2605,1,0.000383877159309021,0,0.000455136540962289,0,1.18563068920676,0,0,0,0,0,0,0,DUI & DWI
SD,beadle,6,0.18338901037536,0.0182582651768229,44447.2924192666,0.204469531160005,286,16315,3.33333333333333,1,17362,4.33333333333333,0.000249587221134278,5.75970510309872e-05,0.000359483165916888,0,6.241346726649,1,0,0,0,0,0,0,DUI & DWI
SD,bennett,24,0.222828366952581,0.0482584976919849,37720.8136792453,0.205623164078892,83,975,2,0,2383,2,0.000839278220730172,0,0.000364874726343955,3.79046319460238e-05,2,0.0903267379273747,0,0,0,0,0,0,DUI & DWI
SD,bon homme,20,0.1822951702575,0.0051123368760931,43343.9336230739,0.0987488228171667,120,6673,1.5,0,7433,1.5,0.000201802771424728,0,0.000455136540962289,0,3.38302990897269,0,0,0,0,0,0,0,DUI & DWI
SD,brookings,18,0.398692191449141,0.0230603992923932,47201.0281276238,0.157979529946929,856,30112,23,1,31656,24,0.000758150113722517,3.15895880717715e-05,0.000914480646917995,0.000122016378451137,28.948799358836,3.86255047624919,0,0,0,0,0,0,DUI & DWI
SD,brown,23,0.211381007865571,0.0157223295160895,52912.9795182275,0.105051274379131,644,35003,16,1,36763,17,0.000462421456355575,2.72012621385632e-05,0.000444987111653778,4.72746182574576e-05,17,1.73795679099891,0,0,0,0,0,0,DUI & DWI
SD,brule,12,0.167269906596174,0.0323164426059979,50577.1146616541,0.118407445708376,46,3315,2,2,3868,4,0.00103412616339193,0.000517063081695967,0.000474738765371271,4.00817668042807e-05,4,2,0,0,0,0,0,0,DUI & DWI
SD,buffalo,21,0.24940334173031,0.0507159904534606,31368.5174672489,0.359188544152745,50,275,0,0,1676,0,0,0,0.000216896215161045,0,0.363518056609912,0,NA,NA,NA,NA,NA,NA,DUI & DWI
SD,butte,20,0.179456071831665,0.0164796279445961,41311.0555009823,0.111818825194621,134,9377,2.5,0,9891,2.5,0.000252755029825094,0,0.000455136540962289,0,4.501755526658,0,0.995882066973605,0.995882066973605,0,0,0.995882066973605,0.995882066973605,DUI & DWI
